phase	attempt	principal	connection	outcome	detail
pending-fill	1	alice	0	pending	request 3 granted and unanswered (after_revision 1, wait 30000ms)
pending-fill	2	alice	0	pending	request 4 granted and unanswered (after_revision 1, wait 30000ms)
pending-fill	3	alice	0	pending	request 5 granted and unanswered (after_revision 1, wait 30000ms)
pending-fill	4	alice	0	pending	request 6 granted and unanswered (after_revision 1, wait 30000ms)
pending-fill	5	alice	0	pending	request 7 granted and unanswered (after_revision 1, wait 30000ms)
pending-fill	6	alice	0	pending	request 8 granted and unanswered (after_revision 1, wait 30000ms)
pending-fill	7	alice	0	pending	request 9 granted and unanswered (after_revision 1, wait 30000ms)
pending-fill	8	alice	0	pending	request 10 granted and unanswered (after_revision 1, wait 30000ms)
pending-fill	9	alice	0	pending	request 11 granted and unanswered (after_revision 1, wait 30000ms)
pending-fill	10	alice	0	pending	request 12 granted and unanswered (after_revision 1, wait 30000ms)
pending-fill	11	alice	0	pending	request 13 granted and unanswered (after_revision 1, wait 30000ms)
pending-fill	12	alice	0	pending	request 14 granted and unanswered (after_revision 1, wait 30000ms)
pending-fill	13	alice	0	pending	request 15 granted and unanswered (after_revision 1, wait 30000ms)
pending-fill	14	alice	0	pending	request 16 granted and unanswered (after_revision 1, wait 30000ms)
pending-fill	15	alice	0	pending	request 17 granted and unanswered (after_revision 1, wait 30000ms)
pending-fill	16	alice	0	pending	request 18 granted and unanswered (after_revision 1, wait 30000ms)
pending-fill	17	alice	0	refused	request 19 tag_kind=0 tag_id=19 code=4 detail="connection pending limit"
