server_subject	java
client_subject	rust
attempt_1_state	AWAITING_RETRY (2)
r1_replacement_attempt	2
attempt_2_hold	schedule pause at EXECUTION_CLAIMED for attempt 2 (second pause row), released after the stale retry's CONFLICT
attempt_2_live_evidence	EXECUTION_CLAIMED recorded twice by the subject; attempt 2 held at its claim
stale_retry_refusal	authority refusal CONFLICT: retry attempt changed
terminal_attempt	2
terminal_state	SUCCEEDED (5)
r1_replay	identical receipt; settled view byte-identical; fence not advanced
result_read	attempt 2 byte-exact against the independent oracle
java_jar_sha256	5a149b9ddc88b4c8ce3774c8296e058f7a41ddc384906209d54b9eeefa76202c
