fault_window	kill between payload staging and admission commit
storage_probe_scope	private-storage-supplementary
object_dir_baseline	files=4 bytes=66207 allocated_blocks=152
object_dir_after_final_restart	files=8 bytes=16844587 allocated_blocks=32952
object_dir_after_cleanup_window	files=8 bytes=16844587 allocated_blocks=32952
restart_cleanup	no restart-time cleanup observed (16844587 -> 16844587); rust operator command: none in the v2 CLI (collect_payload_orphans is library-only, not run by serve startup)
object_dir_final	files=10 bytes=16849263 allocated_blocks=32976
reclaim	orphan bytes retained across subsequent admissions (16844587 -> 16849263)
capacity_after_kills	liveness admission succeeded
committed_untouched	known-good result byte-exact after every restart
